x,y
1,0.00126
1,-0.00126
0.998973,-0.001267
0.995895,-0.001289
0.99078,-0.001326
0.983647,-0.001381
0.974528,-0.001454
0.963458,-0.00155
0.950484,-0.001672
0.935659,-0.001824
0.919044,-0.002013
0.900707,-0.002245
0.880723,-0.002528
0.859175,-0.002869
0.83615,-0.003276
0.811745,-0.003758
0.786058,-0.004323
0.759196,-0.004976
0.731269,-0.005723
0.702392,-0.006566
0.672683,-0.007506
0.642264,-0.008538
0.61126,-0.009657
0.5798,-0.010851
0.548012,-0.012104
0.516026,-0.013397
0.483974,-0.014707
0.451988,-0.016005
0.4202,-0.017262
0.38874,-0.018462
0.357736,-0.019763
0.327317,-0.021174
0.297608,-0.022637
0.268731,-0.024096
0.240804,-0.025492
0.213942,-0.026764
0.188255,-0.027854
0.16385,-0.028706
0.140825,-0.029265
0.119277,-0.029483
0.099293,-0.029314
0.080956,-0.028718
0.064341,-0.02766
0.049516,-0.026109
0.036542,-0.024042
0.025472,-0.021439
0.016353,-0.018284
0.00922,-0.014568
0.004105,-0.010283
0.001027,-0.005427
0,0
0,0
0.001027,0.005837
0.004105,0.011916
0.00922,0.018214
0.016353,0.024692
0.025472,0.031304
0.036542,0.037991
0.049516,0.04469
0.064341,0.051326
0.080956,0.057823
0.099293,0.064102
0.119277,0.07008
0.140825,0.07568
0.16385,0.080822
0.188255,0.085436
0.213942,0.089455
0.240804,0.09282
0.268731,0.095481
0.297608,0.097395
0.327317,0.098532
0.357736,0.09887
0.38874,0.098398
0.4202,0.097172
0.451988,0.095405
0.483974,0.09314
0.516026,0.090405
0.548012,0.087235
0.5798,0.083667
0.61126,0.079739
0.642264,0.075496
0.672683,0.070982
0.702392,0.066246
0.731269,0.061336
0.759196,0.056304
0.786058,0.051202
0.811745,0.046084
0.83615,0.041003
0.859175,0.036015
0.880723,0.031174
0.900707,0.026533
0.919044,0.022145
0.935659,0.018062
0.950484,0.014331
0.963458,0.010998
0.974528,0.008103
0.983647,0.005682
0.99078,0.003766
0.995895,0.00238
0.998973,0.001541
